@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R5-8,10-14,16-19,22-25,27'

@attribute snake_posX numeric
@attribute snake_posY numeric
@attribute food_posX numeric
@attribute food_posY numeric
@attribute good_move {RIGHT,LEFT,UP,DOWN}
@attribute previous_direction {1,2,3,4}
@attribute x_rel_pos {RIGHT,LEFT,SAME}
@attribute y_rel_pos {UP,DOWN,SAME}
@attribute direction {1,2,3,4}

@data
110,50,340,160,RIGHT,2,RIGHT,DOWN,2
120,50,340,160,RIGHT,2,RIGHT,DOWN,2
130,50,340,160,RIGHT,2,RIGHT,DOWN,2
140,50,340,160,RIGHT,2,RIGHT,DOWN,2
150,50,340,160,RIGHT,2,RIGHT,DOWN,2
160,50,340,160,RIGHT,2,RIGHT,DOWN,2
170,50,340,160,RIGHT,2,RIGHT,DOWN,2
180,50,340,160,RIGHT,2,RIGHT,DOWN,2
190,50,340,160,RIGHT,2,RIGHT,DOWN,2
200,50,340,160,RIGHT,2,RIGHT,DOWN,2
210,50,340,160,RIGHT,2,RIGHT,DOWN,2
220,50,340,160,RIGHT,2,RIGHT,DOWN,2
230,50,340,160,RIGHT,2,RIGHT,DOWN,2
240,50,340,160,RIGHT,2,RIGHT,DOWN,2
250,50,340,160,RIGHT,2,RIGHT,DOWN,2
260,50,340,160,RIGHT,2,RIGHT,DOWN,2
270,50,340,160,RIGHT,2,RIGHT,DOWN,2
280,50,340,160,RIGHT,2,RIGHT,DOWN,2
290,50,340,160,RIGHT,2,RIGHT,DOWN,2
300,50,340,160,RIGHT,2,RIGHT,DOWN,2
310,50,340,160,RIGHT,2,RIGHT,DOWN,2
310,60,340,160,RIGHT,2,RIGHT,DOWN,3
310,70,340,160,RIGHT,2,RIGHT,DOWN,3
310,80,340,160,RIGHT,2,RIGHT,DOWN,3
310,90,340,160,RIGHT,2,RIGHT,DOWN,3
310,100,340,160,RIGHT,2,RIGHT,DOWN,3
310,110,340,160,RIGHT,2,RIGHT,DOWN,3
320,110,340,160,RIGHT,3,RIGHT,DOWN,2
330,110,340,160,RIGHT,3,RIGHT,DOWN,2
330,120,340,160,RIGHT,2,RIGHT,DOWN,3
330,130,340,160,RIGHT,2,RIGHT,DOWN,3
330,140,340,160,RIGHT,2,RIGHT,DOWN,3
330,150,340,160,RIGHT,2,RIGHT,DOWN,3
340,150,340,160,DOWN,3,SAME,DOWN,2
350,150,340,160,DOWN,3,LEFT,DOWN,2
360,150,340,160,DOWN,3,LEFT,DOWN,2
370,150,340,160,DOWN,3,LEFT,DOWN,2
380,150,340,160,DOWN,3,LEFT,DOWN,2
390,150,340,160,DOWN,3,LEFT,DOWN,2
400,150,340,160,DOWN,3,LEFT,DOWN,2
410,150,340,160,DOWN,3,LEFT,DOWN,2
420,150,340,160,DOWN,3,LEFT,DOWN,2
420,160,340,160,LEFT,2,LEFT,SAME,3
410,160,340,160,LEFT,3,LEFT,SAME,4
400,160,340,160,LEFT,3,LEFT,SAME,4
390,160,340,160,LEFT,3,LEFT,SAME,4
380,160,340,160,LEFT,3,LEFT,SAME,4
370,160,340,160,LEFT,3,LEFT,SAME,4
360,160,340,160,LEFT,3,LEFT,SAME,4
350,160,340,160,LEFT,3,LEFT,SAME,4
340,160,320,440,LEFT,3,LEFT,DOWN,4
